2015-06-30-22 26 32.189	0.11904907 1.0758209 9.690643
2015-06-30-22 26 32.195	0.035736084 0.99250793 9.66684
2015-06-30-22 26 32.200	0.033355713 0.9437103 9.814423
2015-06-30-22 26 32.205	-0.052337646 0.8365936 10.103638
2015-06-30-22 26 32.210	-0.06781006 0.67829895 10.341675
2015-06-30-22 26 32.215	-0.15231323 0.4938202 10.715393
2015-06-30-22 26 32.221	-0.16064453 0.23912048 11.175995
2015-06-30-22 26 32.225	-0.2451477 0.13557434 11.633026
2015-06-30-22 26 32.230	-0.3939209 0.091537476 12.1293335
2015-06-30-22 26 32.235	-0.8902283 -0.10484314 12.863678
2015-06-30-22 26 32.240	-1.4960327 -0.13816833 13.914612
2015-06-30-22 26 32.245	-1.4329529 -0.1334076 14.372833
2015-06-30-22 26 32.250	-0.8378601 -0.19767761 14.163361
2015-06-30-22 26 32.255	-0.5772095 -0.17982483 13.869385
2015-06-30-22 26 32.260	-0.6759949 -0.07865906 13.486145
2015-06-30-22 26 32.265	-0.5010376 0.1962738 13.140991
2015-06-30-22 26 32.270	-0.14160156 0.44978333 12.830353
2015-06-30-22 26 32.275	0.23687744 0.7461395 12.548279
2015-06-30-22 26 32.281	0.49395752 0.86872864 12.48996
2015-06-30-22 26 32.285	0.8260193 0.9389496 12.632782
2015-06-30-22 26 32.290	1.0235901 0.95085144 12.919617
2015-06-30-22 26 32.295	1.0700073 0.9639435 13.305237
2015-06-30-22 26 32.301	0.9831238 0.9318085 13.799164
2015-06-30-22 26 32.305	0.9985962 0.77589417 14.296661
2015-06-30-22 26 32.310	0.85220337 0.6092682 14.723938
2015-06-30-22 26 32.315	0.6022644 0.34266663 15.040527
2015-06-30-22 26 32.321	0.37612915 0.18080139 15.283325
2015-06-30-22 26 32.326	0.16903687 0.011795044 15.191681
2015-06-30-22 26 32.330	-0.071380615 -0.1334076 14.872711
2015-06-30-22 26 32.336	-0.34631348 -0.33573914 14.218109
2015-06-30-22 26 32.341	-0.4355774 -0.44880676 13.483765
2015-06-30-22 26 32.346	-0.29275513 -0.5773468 12.882721
2015-06-30-22 26 32.351	-0.07019043 -0.66304016 11.972229
2015-06-30-22 26 32.356	0.17974854 -0.6523285 11.246216
2015-06-30-22 26 32.361	0.37731934 -0.6285248 10.704681
2015-06-30-22 26 32.366	0.54870605 -0.6011505 10.235748
2015-06-30-22 26 32.371	0.71533203 -0.5511627 9.823944
2015-06-30-22 26 32.376	0.8272095 -0.4464264 9.34787
2015-06-30-22 26 32.381	0.9664612 -0.33335876 9.015808
2015-06-30-22 26 32.386	1.0926208 -0.23457336 8.681366
2015-06-30-22 26 32.391	1.2437744 -0.06199646 8.408813
2015-06-30-22 26 32.396	1.3544617 0.21174622 8.38858
2015-06-30-22 26 32.401	1.5889282 0.39622498 8.546875
2015-06-30-22 26 32.410	1.5984497 0.49858093 8.625427
2015-06-30-22 26 32.413	1.6460571 0.52238464 8.784912
2015-06-30-22 26 32.416	1.5663147 0.5985565 9.055084
2015-06-30-22 26 32.422	1.388977 0.66282654 9.425232
2015-06-30-22 26 32.426	1.1568909 0.72828674 9.707306
2015-06-30-22 26 32.431	0.8760071 0.90205383 10.203613
2015-06-30-22 26 32.436	0.66534424 0.9270477 10.517822
2015-06-30-22 26 32.442	0.49871826 0.9520416 10.860596
2015-06-30-22 26 32.446	0.3297119 0.7913666 10.961761
2015-06-30-22 26 32.451	0.15237427 0.6318817 11.2378845
2015-06-30-22 26 32.456	-0.058288574 0.46287537 11.2724
2015-06-30-22 26 32.462	-0.3701172 0.31053162 11.14386
2015-06-30-22 26 32.466	-0.56292725 0.112960815 10.882019
2015-06-30-22 26 32.472	-0.73431396 -0.026290894 10.5642395
2015-06-30-22 26 32.479	-0.7414551 -0.22624207 9.54187
2015-06-30-22 26 32.482	-0.7414551 -0.22624207 9.54187
2015-06-30-22 26 32.487	-0.6997986 -0.35240173 9.103882
2015-06-30-22 26 32.492	-0.7462158 -0.30717468 8.615906
2015-06-30-22 26 32.497	-0.71884155 -0.17982483 8.161255
2015-06-30-22 26 32.502	-0.71170044 -0.057235718 7.661377
2015-06-30-22 26 32.507	-0.6902771 0.16889954 7.244812
2015-06-30-22 26 32.512	-0.5903015 0.36289978 6.993683
2015-06-30-22 26 32.517	-0.4927063 0.53904724 6.833008
2015-06-30-22 26 32.523	-0.42486572 0.8223114 6.815155
2015-06-30-22 26 32.527	-0.40701294 0.94252014 6.78183
2015-06-30-22 26 32.532	-0.39749146 1.1448517 6.7235107
