2015-07-01-19 44 50.496	-0.8699951 1.6756744 14.491852
2015-07-01-19 44 50.500	-0.5938721 1.5602264 15.480896
2015-07-01-19 44 50.505	-0.3117981 1.4257355 16.4628
2015-07-01-19 44 50.511	-0.2296753 1.249588 17.086456
2015-07-01-19 44 50.516	-0.29751587 0.9556122 17.24237
2015-07-01-19 44 50.521	-0.51412964 0.787796 16.847229
2015-07-01-19 44 50.526	-0.75216675 0.723526 16.046234
2015-07-01-19 44 50.531	-0.8069153 0.8306427 14.984589
2015-07-01-19 44 50.536	-0.8366699 1.0603485 13.793213
2015-07-01-19 44 50.544	-0.99139404 1.319809 12.81369
2015-07-01-19 44 50.546	-1.0758972 1.4959564 11.627075
2015-07-01-19 44 50.551	-1.2437134 1.5685577 10.643982
2015-07-01-19 44 50.556	-1.3008423 1.6054535 9.47998
2015-07-01-19 44 50.561	-1.3639221 1.5911713 8.604004
2015-07-01-19 44 50.566	-1.2556152 1.5138092 7.673279
2015-07-01-19 44 50.571	-1.0568542 1.4554901 6.9901123
2015-07-01-19 44 50.576	-0.7866821 1.4590607 6.5794983
2015-07-01-19 44 50.582	-0.45343018 1.3221893 6.3486023
2015-07-01-19 44 50.586	-0.047576904 1.1948395 6.2486267
2015-07-01-19 44 50.591	0.44873047 0.9972687 6.328369
2015-07-01-19 44 50.596	0.9736023 0.8806305 6.769928
2015-07-01-19 44 50.601	1.3532715 0.7401886 7.1722107
2015-07-01-19 44 50.606	1.7615051 0.6104584 7.8113403
2015-07-01-19 44 50.611	2.0566711 0.49024963 8.358826
2015-07-01-19 44 50.617	2.4113464 0.2129364 8.926544
2015-07-01-19 44 50.621	2.607727 -0.047714233 9.033661
2015-07-01-19 44 50.627	2.8160095 -0.13102722 9.02533
2015-07-01-19 44 50.632	2.6934204 -0.23100281 8.89917
2015-07-01-19 44 50.637	2.36969 -0.22981262 8.57901
2015-07-01-19 44 50.641	2.0054932 -0.08937073 8.313599
2015-07-01-19 44 50.646	1.5306091 0.07963562 7.8898926
2015-07-01-19 44 50.652	0.9057617 0.2867279 7.2995605
2015-07-01-19 44 50.657	0.3225708 0.4521637 6.8889465
2015-07-01-19 44 50.661	-0.18325806 0.58665466 6.354553
2015-07-01-19 44 50.666	-0.6414795 0.70448303 6.096283
2015-07-01-19 44 50.672	-0.8390503 0.77827454 5.8511047
2015-07-01-19 44 50.677	-1.0758972 0.8330231 5.62973
2015-07-01-19 44 50.682	-1.1734924 0.89967346 5.56427
2015-07-01-19 44 50.687	-1.1508789 0.90086365 5.4714355
